Year,Common #,Indi. #,Risk factor,Formation,Type,Journal,Short reference,Full reference,Link without href,Predictability.in.OP,Coverage,New Journal,notes
NA,NA,2,Idiosyncratic volatility,Residual stock volatility from CAPM,Individual financial,Journal of Political Economy,Fama and MacBeth (1973),"Fama, Eugene F. and James D. MacBeth, 1973, ``Risk, return, and equilibrium: Empirical tests"", Journal of Political Economy 81, 607-636.",http://www.jstor.org/stable/pdfplus/1831028.pdf,1_clear,done!,NA,NA
1975,NA,3,Earnings growth expectations,"Projecting firm earnings growth based on market beta, firm size, dividend payout ratio, leverage and earnings variability",Individual accounting,Journal of Finance,Ofer (1975),"Ofer, Aharon R., ``Investor's expectations of earnings growth, their accuracy and effects on the structure of realized rates of return"", Journal of Finance 30, 509-523.",http://www.jstor.org/stable/pdfplus/2978730.pdf,1_clear,done!,NA,NA
1977,NA,4,PE ratio,Firm price-to-earnings ratio,Individual accounting,Journal of Finance,Basu (1977),"Basu, S., 1977, ``Investment performance of common stocks in relation to their price-earnings ratios: a test of the efficient market hypothesis"", Journal of Finance 32, 663-682.",http://www.jstor.org/stable/pdfplus/2326304.pdf,1_clear,done!,NA,NA
1979,NA,5,Dividend yield,Dividend per share divided by share price,Individual accounting,Journal of Financial Economics,Litzenberger and Ramaswamy (1979),"Litzenberger, Robert H. and Krishna Ramaswamy, 1979, ``The effect of personal taxes and dividends on capital asset prices"", Journal of Financial Economics 7, 163-195.",http://www.sciencedirect.com/science/article/pii/0304405X79900126#,1_clear,done!,NA,NA
1981,NA,6,Firm size,Market value of firm stocks,Individual financial,Journal of Financial Economics,Banz (1981),"Banz, Rolf W., 1981, ``The relationship between return and market value of common stocks"", Journal of Financial Economics 9, 3-18.",http://www.sciencedirect.com/science/article/pii/0304405X81900180,1_clear,done!,NA,NA
1981,NA,7,Short interest,Equity short interest,Individual microstructure,Journal of Financial and Quantitative Analysis,Figlewski (1981),"Figlewski, Stephen, 1981, The informational effects of restrictions on short sales: some empirical evidence, Journal of Financial and Quantitative Analysis 16, 463-476.",http://www.jstor.org/stable/pdfplus/2330366.pdf?acceptTC=true,1_clear,done!,NA,NA
1983,NA,8,EP ratio,Firm earnings-to-price ratio,Individual accounting,Journal of Financial Economics,Basu (1983),"Basu, S., 1983, ``The relationship between earnigns' yield, market value and return  for NYSE common stocks: further evidence"", Journal of Financial Economics 12, 129-156.",http://www.uadphilecon.gr/UA/files/1436950889..pdf,1_clear,done!,NA,NA
1985,NA,9,Long-term return reversal,Long-term past abnormal return,Individual  other,Journal of Finance,De Bondt and Thaler (1985),"De Bondt , Werner F. M. and Richard Thaler, 1985, ``Does the stock market overreact?"", Journal of Finance 40, 28-30.",http://www.jstor.org/stable/pdfplus/2327804.pdf,1_clear,done!,NA,NA
1988,NA,10,Debt to equity ratio,Non-common equity liabilities to equity,Individual accounting,Journal of Finance,Bhandari (1988),"Bhandari, Laxmi Chand, ``Debt/Equity ratio and expected common stock returns: Empirical evidence"", Journal of Finance 43, 507-528.",http://www.jstor.org/stable/pdfplus/2328473.pdf,1_clear,done!,NA,NA
1989,NA,11,Illiquidity,Illiquidity proxied by bid-ask spread,Individual microstructure,Journal of Finance,Amihud and Mendelson (1989),"Amihud, Yakov and Haim Mendelson, 1989, The effects of beta, bid-ask spread, residual risk, and size on stock returns, Journal of Finance 44, 479-486.",http://www.jstor.org/stable/2328600,1_clear,done!,NA,NA
1989,NA,12,Predicted earnings change,Predicted earnings change in one year based on a financial statement analysis that combines a large set of financial statement items,Individual accounting,Journal of Accounting & Economics,Ou and Penman (1989),"Ou, Jane and Stephen Penman, 1989, Financial statement analysis and the prediction of stock returns, Journal of Accounting & Economics 11, 295-329.",http://www.sciencedirect.com/science/article/pii/0165410189900177,1_clear,done!,NA,NA
1990,NA,13,Return predictability,Short-term (one month) and long-term (twelve months) serial correlations in returns,Individual financial,Journal of Finance,Jegadeesh (1990),"Jegadeesh, Narasimhan, 1990, Evidence of predictable behavior of security returns, Journal of Finance 45, 147-171.",http://www.jstor.org/stable/pdfplus/2328797.pdf?acceptTC=true,1_clear,done!,NA,NA
1993,NA,14,Return momentum,Past stock returns,Individual other,Journal of Finance,Jegadeesh and Titman (1993),"Jegadeesh, Narasimhan and Sheridan Titman, 1993, ``Returns to buying winners and selling losers: implications for stock market efficiency"", Journal of Finance 48, 65-91.",http://www.jstor.org/stable/2328882,1_clear,done!,NA,NA
1995,NA,15,New public stock issuance,New public stock issuance,Individual accounting,Journal of Finance,Loughran and Ritter (1995),"Loughran, Tim and Jay R. Ritter, 1995, ``The new issues puzzle"", Journal of Finance 50, 23-51.",http://www.jstor.org/stable/pdfplus/2329238.pdf,1_clear,done!,NA,NA
1995,NA,16,Dividend initiations,Initiations of cash dividend payments,Individual financial,Journal of Finance,"Michaely, Thaler and Womack (1995)","Michaely, Roni, Richard Thaler and Kent Womack, 1995, Price reactions to dividend initiations and omissions: overreaction or drift? Journal of Finance 50, 573-608.",http://onlinelibrary.wiley.com/doi/10.1111/j.1540-6261.1995.tb04796.x/abstract,1_clear,done!,NA,NA
NA,NA,17,Dividend omissions,Omissions of cash dividend payments,Individual financial,Journal of Finance,"Michaely, Thaler and Womack (1995)","Michaely, Roni, Richard Thaler and Kent Womack, 1995, Price reactions to dividend initiations and omissions: overreaction or drift? Journal of Finance 50, 573-608.",http://onlinelibrary.wiley.com/doi/10.1111/j.1540-6261.1995.tb04796.x/abstract,1_clear,done!,NA,NA
1996,NA,18,Earnings forecast,Errors in analysts' forecasts on earnings growth,Individual accounting,Journal of Finance,La Porta (1996),"La Porta, Rafael, 1996, ``Expectations and the cross-section of stock returns"", Journal of Finance 51, 1715-1742.",http://www.jstor.org/stable/pdfplus/2329535.pdf,1_clear,done!,NA,NA
1996,NA,19,R&D capital,R&D capital over total assets,Individual accounting,Journal of Accounting & Economics,Lev and Sougiannis (1996),"Lev, Baruch and Theodore Sougiannis, 1996, The capitalization, amortization, and value-relevance of R&D, Journal of Accounting and Economics 21, 107-138.",http://www.sciencedirect.com/science/article/pii/0165410195004106,1_clear,done!,NA,NA
1996,NA,20,Accruals,"Accruals defined by the change in non-cash current assets, less the change in current liabilities, less depreciation expense, all divided by average total assets",Individual accounting,Accounting Review,Sloan (1996),"Sloan, Richard, 1996, Do stock prices fully reflect information in accruals and cash flows about future earnings? Accounting Review 71, 289-315.",http://www.jstor.org/stable/pdfplus/248290.pdf,1_clear,done!,NA,NA
1996,NA,21,Buy recommendations,Buy recommendations from security analysts,Individual financial,Journal of Finance,Womack (1996),"Womack, Kent, 1996, Do brokerage analysts' recommendations have investment value? Journal of Finance 51, 137-167.",http://www.jstor.org.proxy.lib.duke.edu/stable/pdfplus/2329305.pdf,1_clear,done!,NA,NA
